Temperature,Humidity,Pressure
25,70,1010
28,75,1005
22,65,1015
24,68,1008
26,72,1012
30,80,1008
32,75,1012
28,70,1015
25,65,1005
27,68,1010
18,55,1010
20,60,1005
22,65,1008
24,70,1012
26,75,1015
23,68,1010
27,73,1008
29,78,1015
25,70,1005
21,65,1012
23,68,1010
26,72,1008
29,78,1015
30,80,1005
26,74,1010
28,76,1005
31,82,1009
27,70,1015
24,68,1010
26,72,1008
28,75,1012
31,80,1010
30,78,1005
32,82,1008
29,76,1015
27,70,1010
29,75,1008
25,68,1012
23,65,1008
26,70,1015
24,68,1010
22,64,1015
25,68,1008
28,72,1012
30,76,1010
33,80,1005
29,74,1010
31,78,1015
